,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
Netherlands,-2.4290462240891006,-0.5621445171699628,0.14937430523314404,-0.45063080911555203,-0.6638986508395872,0.3249615583353568,0.3425103876341517,-0.08325398754297762,1.0802038311625626,0.7165040102793142,-0.2877976593627208,-0.19812854545954228,-0.012268964507069617,-0.21006852288760305,-0.5034814828788875,-0.20542345367064832,0.3080538537770427,-0.08793009344097806,0.39845690071992484,-0.30142888966312326
North Macedonia,2.77014069733859,-2.334807814393498,-3.463737813217456,2.445501859343693,1.553785993807894,0.7344293768310882,0.9298347519748977,-0.2922067129678219,0.4950209145052501,-1.0962827580084935,1.1389867284107484,-0.3875682244840778,-0.1536696386328933,0.5200069919199459,0.35610153506926756,0.036323563175891145,-0.3595905341122215,-0.4229360710039688,0.08884352934660224,-0.14825718329611828
Norway,-3.2199355156372773,0.10552323653360345,0.4957328864269684,-0.07935301395134255,0.35318662535032497,0.11167951969335994,0.9161918476425208,0.05061947126603108,-0.6306798283644729,-0.0025694311265017427,-0.2490206127422383,0.2616428583910983,0.2802105443927384,0.8888226963445458,-0.6267330918050534,0.014874164020851323,0.3198621621231585,0.42821207577986986,0.22684656247054177,0.21284936406578525
Poland,-0.07715379026114189,1.0693978205643075,0.5859964511723196,2.119668006561992,-4.032977346551561,-1.4504496196176504,0.09516639283760438,-0.6400205901977664,0.7811387468136906,0.66266831450648,2.459298597173733,0.8600736718788697,0.18754134403581607,-0.028413746863413383,0.2585883087346663,-0.26064881052127786,0.08169244475990788,-0.10527380929934085,0.09484940358838695,-0.08895603945626393
Portugal,-1.2226046064353595,-1.4869174421013642,0.43855283595345534,0.046011649842399166,-0.6115659228156473,-0.2403320278114064,-0.579024647824103,0.5186905790355593,-0.854762210525076,0.4428679128004179,-0.7176837844918265,-0.12953426663010603,0.003646357492354654,-0.019083570547472877,0.9901077875927867,0.41030025760147604,0.40476561877851125,-0.3459109236846149,-0.03313293148100848,0.029419458521233604
Republic of Moldova,5.256776088524154,1.1098991487687635,2.455444882466636,-1.1203896938512543,-1.1402743981798344,-0.7206527251801819,0.01792762352498052,-0.13763124484349712,0.0331315432454052,-1.2250807699785267,0.29958974953279327,-0.953202034297478,0.4028150461817661,-0.29309749780579075,-0.31667822802462936,0.8752277928091966,0.05043528045448233,0.5132432843900141,-0.35508451582585765,-0.32829310802047557
Romania,3.0481509616938847,-0.3468974104791958,0.10469608638485149,0.5177870714016818,-2.1210027733480574,-0.29124387528088136,0.6682696661924206,1.1543683465966248,-1.8031253144593382,0.7486009504782116,-0.5135051127464856,-0.9153513480699257,-0.5251364975469538,0.44710521078261,0.05770261151945132,-0.40268346773027897,-0.30816710020918586,0.1702521660610712,-0.4570947111424015,0.07647769867267429
Russian Federation,3.41709776853093,4.86574447139863,1.3925078808266318,0.8574965697519993,2.078448303665414,0.8507175143644352,0.6485127571084418,0.8869918216689799,-0.08507359485049135,-0.34187768959101184,0.1202172094431428,1.1168193787536074,-0.14489763003485467,0.18598053300183712,0.5711092863187214,-0.13839055209215073,0.24183462681919038,0.09656357508083874,0.00010666795826544605,-0.20881757740214985
Serbia,0.9022220534282901,-2.283980734054818,-0.7642874321133146,2.7073660913718625,0.2926167696939106,0.6212143664386282,0.3093610448748305,0.5211373204977101,0.5931329187849328,1.3195900022476437,-0.2385400077229724,0.7438906369988962,-0.2212950648964015,-0.6849319693265771,-0.9707664859767661,0.15324783084422233,-0.28968073349881845,0.3313754926722148,-0.32494607249954516,0.3224814235815897
Slovakia,1.0670913322546347,0.9133689292087586,1.6807155528953563,0.2628734256027611,-1.0302829314614759,2.5006781028858573,0.25411490930378616,-0.7648044156246777,-1.2268584460047027,0.8809480579231623,-0.5500438912648847,-0.3833427659757755,1.143778997706807,-0.9161036369272612,-0.062284499380286865,-0.019645552145681568,-0.5623024784065681,-0.2134772549211295,-0.006784303516984082,-0.07908788152979347
Slovenia,-0.37437924258586397,2.336309797973797,-2.0561641113973157,-0.9976524658009637,-1.351088800992529,-0.5170722085618537,-1.2772802108101935,0.4618710725995504,0.7480769927412378,-0.22710398881153898,-1.2552498566711432,0.18400151667153852,-0.19309241399049618,0.5253807291014958,-0.03985728173882209,0.12471061993185727,-0.47077601104172656,-0.37475333676503586,-0.1322554800892741,-0.4332121782475402
Spain,-3.2838170452775954,-0.9352576987920425,0.3199367097338657,0.02193406971391504,0.053706557918362395,0.35239435277406683,-0.29078215647100725,0.40575106787868714,-0.041952420781021224,-0.8721973265601549,0.45327199014530356,-0.6656720525841812,-0.39651278440773624,-0.023031106850720896,-0.2526501229402991,0.30360402896759714,-0.1267587281875663,0.6270036328583184,0.4479806970225797,0.008481911671164548
Sweden,-2.3485983556415877,0.4827563115298715,0.08770437526585434,-0.6737666790450049,0.6929935479855016,-0.3060020764417592,-0.006267146381577121,-0.4295858402271604,-0.04142207685329104,0.4402875097548273,0.46386613380001446,0.1889322996325851,-0.12970690993342343,0.334749681455239,-0.3757625788190928,-0.39757328651220303,0.3728212087344193,0.024616343949939397,-0.5752520722304294,0.022906999035181255
Switzerland,-2.44821111197757,0.12116632524527629,0.2362908089199683,-1.2141475137252995,0.5034309759035716,-0.33078924534650594,-0.3898234883595547,-0.8122993629534754,0.5303988756581212,-0.13972073495011497,-0.19438535537297305,-0.5090714161280998,-0.9501810504169097,0.3159172322918409,-0.3176102759957755,0.00849055123024375,-0.05734475180509523,0.3531843930391337,0.1127473781042199,0.13949166243098654
Turkey,1.1238961342899565,-3.285126676621796,0.07304531275147913,1.1979752451579961,0.8013986576101036,0.4054751492496011,1.4778943819476964,-1.2540095574816303,0.15140825555844617,-0.4505310042584531,-1.1779344897013786,1.3193060345421543,-0.2132694373940208,-0.3697536484837853,0.1842787220104379,0.23048209815193346,0.13175594363186324,0.29414018444159207,-0.06626516635500226,-0.04429877959626707
Ukraine,3.23906066912462,3.3529211406094124,-0.2775832544971068,-0.8418490252969308,0.571354740255971,-0.4333504837393174,0.937074765233787,-0.4930074524155111,-0.23317902910507657,-0.8491843104239507,-0.025177124913756132,0.10152498841746775,-0.038117044534572576,-0.3709260185353227,-0.4476344561115257,0.37020997923730214,0.38360416817739346,-0.4442928706649408,-0.24123426031627787,-0.019975361414158274
United Kingdom,-1.8665564298321964,-0.1714036515126848,1.6707565356701466,-1.0674271037791532,-0.17485387731543434,2.181550412947941,1.2590356174743167,0.4834191329146185,0.3862282004138801,0.13522136061502316,0.9156208688780747,-0.31434716212952307,-0.2906523229730022,0.463083641010172,0.6119543108101606,0.08153944162953809,-0.5370795819999625,-0.07035895137523054,-0.052776285544438084,0.0892165407814548
